date,open,close,high,low,volume,money
2005-01-04,,,,,,
2005-01-05,,,,,,
2005-01-06,,,,,,
2005-01-07,,,,,,
2005-01-10,,,,,,
2005-01-11,,,,,,
2005-01-12,,,,,,
2005-01-13,,,,,,
2005-01-14,,,,,,
2005-01-17,,,,,,
2005-01-18,,,,,,
2005-01-19,,,,,,
2005-01-20,,,,,,
2005-01-21,,,,,,
2005-01-24,,,,,,
2005-01-25,,,,,,
2005-01-26,,,,,,
2005-01-27,,,,,,
2005-01-28,,,,,,
2005-01-31,,,,,,
2005-02-01,,,,,,
2005-02-02,,,,,,
2005-02-03,,,,,,
2005-02-04,,,,,,
2005-02-16,,,,,,
2005-02-17,,,,,,
2005-02-18,,,,,,
2005-02-21,,,,,,
2005-02-22,,,,,,
2005-02-23,,,,,,
2005-02-24,,,,,,
2005-02-25,,,,,,
2005-02-28,,,,,,
2005-03-01,,,,,,
2005-03-02,,,,,,
2005-03-03,,,,,,
2005-03-04,,,,,,
2005-03-07,,,,,,
2005-03-08,,,,,,
2005-03-09,,,,,,
2005-03-10,,,,,,
2005-03-11,,,,,,
2005-03-14,,,,,,
2005-03-15,,,,,,
2005-03-16,,,,,,
2005-03-17,,,,,,
2005-03-18,,,,,,
2005-03-21,,,,,,
2005-03-22,,,,,,
2005-03-23,,,,,,
2005-03-24,,,,,,
2005-03-25,,,,,,
2005-03-28,,,,,,
2005-03-29,,,,,,
2005-03-30,,,,,,
2005-03-31,,,,,,
2005-04-01,,,,,,
2005-04-04,,,,,,
2005-04-05,,,,,,
2005-04-06,,,,,,
2005-04-07,,,,,,
2005-04-08,,,,,,
2005-04-11,,,,,,
2005-04-12,,,,,,
2005-04-13,,,,,,
2005-04-14,,,,,,
2005-04-15,,,,,,
2005-04-18,,,,,,
2005-04-19,,,,,,
2005-04-20,,,,,,
2005-04-21,,,,,,
2005-04-22,,,,,,
2005-04-25,,,,,,
2005-04-26,,,,,,
2005-04-27,,,,,,
2005-04-28,,,,,,
2005-04-29,,,,,,
2005-05-09,,,,,,
2005-05-10,,,,,,
2005-05-11,,,,,,
2005-05-12,,,,,,
2005-05-13,,,,,,
2005-05-16,,,,,,
2005-05-17,,,,,,
2005-05-18,,,,,,
2005-05-19,,,,,,
2005-05-20,,,,,,
2005-05-23,,,,,,
2005-05-24,,,,,,
2005-05-25,,,,,,
2005-05-26,,,,,,
2005-05-27,,,,,,
2005-05-30,1.76,1.73,2.11,1.49,9062508.0,16744123.0
2005-05-31,1.65,1.65,1.72,1.65,2178295.0,3601869.0
2005-06-01,1.56,1.56,1.59,1.56,3110665.0,4882844.0
2005-06-02,1.49,1.52,1.56,1.49,5445820.0,8277428.0
2005-06-03,1.53,1.54,1.59,1.51,9708775.0,15253983.0
2005-06-06,1.46,1.46,1.5,1.46,5877988.0,8609066.0
2005-06-07,1.46,1.52,1.53,1.44,6098358.0,9097830.0
2005-06-08,1.51,1.58,1.59,1.47,6686519.0,10375161.0
2005-06-09,1.57,1.57,1.6,1.54,4889606.0,7674096.0
2005-06-10,1.57,1.58,1.66,1.55,4828506.0,7771110.0
2005-06-13,1.57,1.6,1.62,1.57,2343269.0,3740857.0
2005-06-14,1.59,1.58,1.63,1.56,3221677.0,5135719.0
2005-06-15,1.58,1.53,1.58,1.5,3943022.0,5974653.0
2005-06-16,1.54,1.6,1.6,1.54,5404234.0,8590386.0
2005-06-17,1.62,1.55,1.64,1.52,3441754.0,5423452.0
2005-06-20,1.55,1.55,1.55,1.48,2505076.0,3775792.0
2005-06-21,1.55,1.53,1.55,1.51,1536397.0,2356156.0
2005-06-22,1.52,1.56,1.59,1.52,2498125.0,3914304.0
2005-06-23,1.54,1.53,1.55,1.51,1558497.0,2386715.0
2005-06-24,1.5,1.51,1.53,1.48,1015944.0,1526633.0
2005-06-27,1.51,1.53,1.55,1.51,2161718.0,3291585.0
2005-06-28,1.53,1.53,1.53,1.53,0.0,0.0
2005-06-29,1.5,1.46,1.52,1.45,2463870.0,3622356.0
2005-06-30,1.45,1.4,1.48,1.39,1358068.0,1963576.0
2005-07-01,1.39,1.32,1.39,1.32,1854859.0,2466825.0
2005-07-04,1.26,1.26,1.26,1.26,294016.0,370056.0
2005-07-05,1.19,1.25,1.29,1.19,1930485.0,2379693.0
2005-07-06,1.23,1.27,1.28,1.22,1516703.0,1895637.0
2005-07-07,1.26,1.22,1.27,1.2,1451329.0,1772162.0
2005-07-08,1.2,1.16,1.2,1.16,848118.0,988089.0
2005-07-11,1.1,1.1,1.16,1.1,2123127.0,2376351.0
2005-07-12,1.07,1.08,1.1,1.05,2918317.0,3091878.0
2005-07-13,1.06,1.09,1.11,1.06,2349088.0,2573300.0
2005-07-14,1.07,1.07,1.11,1.05,1826451.0,1958229.0
2005-07-15,1.03,1.05,1.06,1.02,2560585.0,2642741.0
2005-07-18,1.03,0.99,1.04,0.99,1852806.0,1849292.0
2005-07-19,0.95,0.95,0.98,0.94,1663650.0,1593331.0
2005-07-20,0.94,1.0,1.0,0.94,2106954.0,2079329.0
2005-07-21,0.98,0.98,1.0,0.97,652223.0,642182.0
2005-07-22,0.98,1.0,1.02,0.97,1291015.0,1290333.0
2005-07-25,1.0,1.04,1.04,0.99,1369090.0,1392154.0
2005-07-26,1.04,1.04,1.05,1.02,1402916.0,1450065.0
2005-07-27,1.03,1.06,1.06,1.03,1613488.0,1680557.0
2005-07-28,1.05,1.06,1.09,1.04,2274001.0,2432708.0
2005-07-29,1.06,1.03,1.06,1.01,1574890.0,1626530.0
2005-08-01,1.03,1.02,1.04,1.01,770428.0,787823.0
2005-08-02,1.01,1.06,1.07,1.01,1945700.0,2051599.0
2005-08-03,1.06,1.08,1.11,1.05,2678862.0,2895395.0
2005-08-04,1.06,1.09,1.1,1.06,2290950.0,2481615.0
2005-08-05,1.07,1.1,1.11,1.07,2015423.0,2206248.0
